ELS NTT infrastructure premium,CentOS67x64,testVapp2,Server Segment 1 readressage,10.16.200.101,1,1024,/Users/tracker/Documents/OVA/CentOS6.7_x64.ova
ELS NTT infrastructure premium,ubuntu-14.04.3-amd64,testVapp3,Server Segment 1 readressage,10.16.200.102,1,1024,/Users/tracker/Documents/OVA/ubuntu-14.04.3-amd64.ova
